id,ride_id,timestamp,rpm,speed_kph,torque_nm,voltage_out,battery_voltage_v,motor_current_a,motor_power_w,power_band,temp_c,humidity_pct,fluid_loss_l,sweat_rate_l_hr,skin_temp_c,ml_sweat_probability,sweat_reduction_active
598,RIDE_20260526_154715,2026-05-26 15:47:23.426006+00,19.4,0,5.1,1,38.6,-0.08,-3.09,LOW,40.46,25.09,0,0,39,0.05,false
599,RIDE_20260526_154715,2026-05-26 15:47:24.605969+00,0,0,7.6,1,38.59,-0.04,-1.54,LOW,40.46,25.09,0,0,39,0.05,false
600,RIDE_20260526_154715,2026-05-26 15:47:25.783308+00,17.9,5.1,17.3,1,38.59,-0.04,-1.54,LOW,40.46,25.09,0,0,39,0.05,false
601,RIDE_20260526_154715,2026-05-26 15:47:26.98881+00,38.6,5.9,71.1,2.5,38.6,-0.08,-3.09,LOW,40.75,22.74,0,0,39,0.05,false
602,RIDE_20260526_154715,2026-05-26 15:47:29.328194+00,57.5,15.9,54,2.39,36.09,8.92,321.92,LOW,40.75,22.74,0,0,39,0.05,false
603,RIDE_20260526_154715,2026-05-26 15:47:30.487298+00,63.7,17.5,45.6,2.24,37.62,3.22,121.14,LOW,40.75,22.74,0,0,39,0.05,false
604,RIDE_20260526_154715,2026-05-26 15:47:31.665835+00,72.7,18.4,48.7,2.29,38.39,0.39,14.97,LOW,40.75,22.74,0,0,39,0.05,false
605,RIDE_20260526_154715,2026-05-26 15:47:32.804536+00,66.6,20.1,42,2.17,38.46,0.19,7.31,LOW,40.75,22.74,0,0,39,0.05,false
606,RIDE_20260526_154715,2026-05-26 15:47:33.985497+00,71.2,20.9,37.9,2.1,38.48,0.17,6.54,LOW,40.75,22.74,0,0,39,0.05,false
607,RIDE_20260526_154715,2026-05-26 15:47:35.158347+00,36.9,21.6,37.1,2.08,38.48,0.17,6.54,LOW,40.75,22.74,0,0,39,0.05,false
608,RIDE_20260526_154715,2026-05-26 15:47:36.321163+00,15.6,21.8,31,1,38.48,0.18,6.93,LOW,40.75,22.74,0,0,39,0.05,false
609,RIDE_20260526_154715,2026-05-26 15:47:37.519986+00,0,21.5,26.6,1,38.55,-0.07,-2.7,LOW,38.63,21.82,0,0,39,0.05,false
610,RIDE_20260526_154715,2026-05-26 15:47:38.69321+00,0,21.4,23.3,1,38.55,-0.07,-2.7,LOW,38.63,21.82,0,0,39,0.05,false
611,RIDE_20260526_154715,2026-05-26 15:47:39.851643+00,72.6,21.1,32.9,2.01,38.55,-0.07,-2.7,LOW,38.63,21.82,0,0,39,0.05,false
612,RIDE_20260526_154715,2026-05-26 15:47:41.0118+00,68.3,21.6,27,1.9,38.5,0.18,6.93,LOW,38.63,21.82,0,0,39,0.05,false
613,RIDE_20260526_154715,2026-05-26 15:47:42.180849+00,63,22.1,37.2,2.09,38.51,0.16,6.16,LOW,38.63,21.82,0,0,39,0.05,false
614,RIDE_20260526_154715,2026-05-26 15:47:43.354571+00,62.2,22.1,31.7,1.98,38.51,0.16,6.16,LOW,38.63,21.82,0,0,39,0.05,false
615,RIDE_20260526_154715,2026-05-26 15:47:44.537571+00,64.7,22.3,40.4,2.14,38.52,0.14,5.39,LOW,38.63,21.82,0,0,39,0.05,false
616,RIDE_20260526_154715,2026-05-26 15:47:45.703374+00,66.6,22.9,36.5,2.07,38.5,0.18,6.93,LOW,38.63,21.82,0,0,39,0.05,false
617,RIDE_20260526_154715,2026-05-26 15:47:46.873141+00,69,23.1,33.9,2.03,38.51,0.15,5.78,LOW,38.63,21.82,0,0,39,0.05,false
618,RIDE_20260526_154715,2026-05-26 15:47:48.085793+00,64.2,23.5,35,2.04,38.52,0.13,5.01,LOW,37.53,22.28,0,0,39,0.05,false
619,RIDE_20260526_154715,2026-05-26 15:47:49.262924+00,65.1,22.9,35,2.05,38.5,0.16,6.16,LOW,37.53,22.28,0,0,39,0.05,false
620,RIDE_20260526_154715,2026-05-26 15:47:50.437641+00,74.2,22.8,36,2.06,38.51,0.17,6.55,LOW,37.53,22.28,0,0,39,0.05,false
621,RIDE_20260526_154715,2026-05-26 15:47:51.61309+00,67.7,22,37.3,2.09,38.52,0.14,5.39,LOW,37.53,22.28,0,0,39,0.05,false
622,RIDE_20260526_154715,2026-05-26 15:47:52.785269+00,62.9,21.6,43.1,2.19,38.5,0.19,7.32,LOW,37.53,22.28,0,0,39,0.05,false
623,RIDE_20260526_154715,2026-05-26 15:47:53.931932+00,67.5,21.9,44,2.21,38.5,0.19,7.32,LOW,37.53,22.28,0,0,39,0.06,false
624,RIDE_20260526_154715,2026-05-26 15:47:55.114985+00,49.2,21.1,39.1,2.12,38.5,0.18,6.93,LOW,37.53,22.28,0,0,39,0.09,false
625,RIDE_20260526_154715,2026-05-26 15:47:56.29064+00,6.5,18.2,33.6,1,38.52,0.11,4.24,LOW,37.53,22.28,0,0,39,0.05,false
